stop_id,latitude,longitude
0,33.424724,-112.075816
1,33.770429,-112.100253
2,33.639196,-112.194308
3,33.559195,-111.93564
4,33.293611,-112.014026
5,33.293597,-111.780579
6,33.23485,-112.280734
7,33.719706,-111.913679
8,33.560669,-111.842231
9,33.624844,-111.844308
10,33.212351,-111.768356
11,33.781946,-111.86258
12,33.699466,-111.743314
13,33.327403,-112.100406
14,33.309095,-111.998074
15,33.310043,-112.291552
16,33.382545,-112.295825
17,33.514854,-112.155924
18,33.459167,-112.239516
19,33.374737,-112.143873
20,33.567112,-112.193774
21,33.283696,-112.282888
22,33.375287,-111.754418
23,33.419817,-112.295066
24,33.473642,-111.858351
25,33.671106,-112.208711
26,33.319804,-111.752662
27,33.508541,-111.764322
28,33.555449,-111.907659
29,33.22787,-111.89666
30,33.564527,-112.296797
31,33.302314,-111.709077
32,33.239031,-111.7733
33,33.769331,-111.762936
34,33.779379,-111.904453
35,33.685038,-112.093128
36,33.382768,-111.763811
37,33.258603,-112.12509
38,33.61054,-111.962373
39,33.464091,-112.240161
40,33.273223,-111.746827
41,33.497106,-112.215538
42,33.220633,-112.165062
43,33.745592,-111.96512
44,33.355268,-111.841544
45,33.597513,-111.928389
46,33.387027,-112.16072
47,33.512041,-112.299434
48,33.528026,-111.84571
49,33.310913,-111.708876
50,33.781751,-111.814052
51,33.66508,-112.023876
52,33.763699,-111.75774
53,33.736896,-112.054091
54,33.55874,-111.98504
55,33.753125,-112.013722
56,33.253096,-112.031426
57,33.31759,-111.834886
58,33.227136,-111.983939
59,33.395198,-112.10997
60,33.433206,-112.145105
61,33.362809,-112.277352
62,33.697243,-111.950083
63,33.414052,-112.162023
64,33.368561,-112.21112
65,33.525618,-111.907702
66,33.284555,-111.891274
67,33.681318,-111.848707
68,33.24473,-111.997854
69,33.792132,-111.763567
70,33.663347,-111.738194
71,33.319229,-111.815577
72,33.203313,-111.918644
73,33.689277,-112.117767
74,33.624114,-111.710233
75,33.637404,-112.135518
76,33.662762,-112.178406
77,33.244427,-112.034708
78,33.415079,-112.265896
79,33.269521,-111.712903
80,33.717862,-111.94694
81,33.573979,-111.965829
82,33.398539,-111.906522
83,33.238135,-112.001786
84,33.386589,-112.280762
85,33.39511,-111.932613
86,33.637764,-111.870296
87,33.582534,-112.049951
88,33.732328,-111.845623
89,33.483329,-112.163799
90,33.271757,-112.167234
91,33.627947,-112.20315
92,33.656471,-112.076803
93,33.536766,-111.791793
94,33.66258,-111.803253
95,33.496277,-112.070305
96,33.51364,-111.946529
97,33.456525,-111.86751
98,33.215251,-112.155276
99,33.264735,-112.199115
100,33.218858,-111.716742
101,33.581846,-111.929466
102,33.388614,-111.711151
103,33.505142,-112.097346
104,33.74454,-111.878181
105,33.349575,-112.166438
106,33.44623,-112.14328
107,33.653331,-111.992859
108,33.337279,-112.108229
109,33.246188,-112.199427
110,33.373851,-112.142272
111,33.296733,-112.278551
112,33.757819,-111.877346
113,33.684872,-112.00473
114,33.580042,-112.243454
115,33.722876,-112.196984
116,33.682203,-112.238479
117,33.311942,-111.932444
118,33.735535,-112.243474
119,33.523605,-111.847431
120,33.684464,-112.287693
121,33.737655,-112.150375
122,33.390802,-111.7656
123,33.266031,-111.868881
124,33.336761,-112.256219
125,33.456265,-111.807324
126,33.690809,-112.004179
127,33.716438,-111.79193
128,33.204171,-111.939556
129,33.506448,-111.8909
130,33.450447,-111.703899
131,33.333265,-112.160599
132,33.271919,-111.925633
133,33.402569,-112.023807
134,33.765746,-112.276329
135,33.393922,-112.291318
136,33.511274,-112.228463
137,33.621811,-111.910545
138,33.418178,-111.959702
139,33.783069,-111.967942
140,33.777468,-112.280886
141,33.351069,-112.018418
142,33.498349,-111.745226
143,33.380527,-112.061445
144,33.370904,-111.925047
145,33.222132,-111.832109
146,33.565739,-111.829645
147,33.501607,-111.988432
148,33.230887,-111.785229
149,33.367188,-112.065173
150,33.74496,-111.766784
151,33.343737,-112.155864
152,33.286937,-112.13187
153,33.493672,-112.268128
154,33.79139,-111.822651
155,33.345233,-112.049767
156,33.603281,-112.16253
157,33.656972,-112.160926
158,33.342583,-111.75916
159,33.63693,-111.79965
160,33.42067,-111.967881
161,33.579383,-111.930334
162,33.580118,-112.015405
163,33.521465,-112.065
164,33.254174,-111.750714
165,33.701181,-112.224632
166,33.392468,-112.048932
167,33.311911,-112.093263
168,33.224465,-112.00111
169,33.554536,-112.025421
170,33.606539,-111.988666
171,33.209953,-112.216049
172,33.507256,-111.992115
173,33.335897,-112.154549
174,33.587104,-112.189401
175,33.30462,-112.261099
176,33.614563,-111.842408
177,33.432041,-112.043535
178,33.762038,-111.924014
179,33.282513,-111.863444
180,33.40464,-111.89241
181,33.268084,-112.0177
182,33.754816,-112.067261
183,33.726404,-112.074424
184,33.354765,-111.915971
185,33.59599,-112.003123
186,33.690333,-111.790521
187,33.53312,-111.775179
188,33.51779,-112.197664
189,33.345111,-112.21826
190,33.255862,-111.921759
191,33.738329,-112.119265
192,33.740251,-112.288858
193,33.579861,-111.766814
194,33.403418,-112.16386
195,33.409526,-111.742432
196,33.635573,-111.869539
197,33.738266,-111.842408
198,33.732252,-112.179123
199,33.667925,-112.159483
200,33.585219,-111.987239
201,33.250484,-112.19674
202,33.296977,-112.116741
203,33.739133,-112.107123
204,33.563857,-112.204222
205,33.205518,-112.17689
206,33.260883,-111.826869
207,33.598101,-112.199682
208,33.203037,-112.282926
209,33.296485,-111.922387
210,33.52924,-111.71441
211,33.615137,-112.101272
212,33.591177,-112.228807
213,33.334562,-111.957768
214,33.627308,-111.756187
215,33.342349,-111.829563
216,33.39524,-111.92649
217,33.647895,-112.110966
218,33.58978,-111.974872
219,33.709534,-112.245253
220,33.594568,-111.892633
221,33.540985,-111.864942
222,33.256205,-111.720981
223,33.420629,-112.143762
224,33.359121,-112.288926
225,33.346394,-111.972635
226,33.783806,-111.875926
227,33.435859,-111.825756
228,33.735228,-112.183757
229,33.578683,-112.142948
230,33.676887,-111.992445
231,33.501582,-112.10164
232,33.546142,-111.783693
233,33.495511,-112.015744
234,33.317146,-111.820253
235,33.633471,-111.951628
236,33.368463,-111.836146
237,33.21459,-112.100396
238,33.587283,-111.80115
239,33.306266,-112.135257
240,33.764275,-111.972341
241,33.772357,-112.171596
242,33.748919,-112.014684
243,33.422095,-112.109095
244,33.209274,-112.139978
245,33.756991,-111.719809
246,33.45691,-112.203956
247,33.779993,-111.827604
248,33.778172,-111.709501
249,33.711806,-112.288059
250,33.376669,-111.880584
251,33.431059,-112.148253
252,33.710682,-112.275707
253,33.390153,-112.058266
254,33.301696,-111.738869
255,33.534081,-112.292941
256,33.761693,-111.947269
257,33.617618,-111.999162
258,33.542037,-111.77597
259,33.258306,-112.249599
260,33.569004,-111.891084
261,33.794032,-111.891934
262,33.28405,-111.898552
263,33.510998,-111.734599
264,33.726424,-111.806147
265,33.644461,-112.274816
266,33.618209,-112.01735
267,33.62149,-112.061228
268,33.415695,-112.113912
269,33.376155,-112.029198
270,33.685617,-112.069483
271,33.686068,-112.0406
272,33.720243,-111.712443
273,33.747944,-112.24682
274,33.506805,-111.746661
275,33.50091,-112.011858
276,33.678977,-111.925755
277,33.589978,-111.80189
278,33.62118,-112.083722
279,33.677476,-112.041747
280,33.734003,-112.054289
281,33.402797,-112.075161
282,33.42535,-111.744682
283,33.256389,-111.802642
284,33.546968,-112.2346
285,33.221565,-112.235126
286,33.479359,-112.043278
287,33.525587,-112.240806
288,33.371925,-111.928544
289,33.5545,-112.213785
290,33.2183,-111.986576
291,33.222409,-112.295668
292,33.69356,-112.110042
293,33.416114,-111.893686
294,33.276236,-112.009577
295,33.513346,-111.713038
296,33.661996,-111.775538
297,33.329493,-112.084558
298,33.573734,-112.272708
299,33.251208,-111.792624
300,33.231009,-111.753259
301,33.518813,-111.807624
302,33.524381,-112.22323
303,33.582458,-111.701251
304,33.635655,-112.144849
305,33.785511,-111.865477
306,33.50978,-111.755179
307,33.393774,-112.158588
308,33.677112,-111.755045
309,33.362499,-112.114311
310,33.463383,-111.714152
311,33.247074,-112.131244
312,33.21521,-111.727939
313,33.777589,-112.267873
314,33.701588,-111.874437
315,33.617585,-111.980733
316,33.445372,-112.013274
317,33.303977,-112.165903
318,33.293862,-111.876643
319,33.350146,-112.185514
320,33.529536,-111.968295
321,33.628758,-112.148053
322,33.596118,-111.726627
323,33.36796,-112.282821
324,33.772919,-112.180163
325,33.642738,-112.154614
326,33.532612,-112.051559
327,33.567032,-112.160362
328,33.45176,-112.005191
329,33.348639,-111.776521
330,33.413584,-111.872762
331,33.654708,-111.952023
332,33.208636,-112.246598
333,33.269644,-111.883605
334,33.227602,-112.200151
335,33.224437,-111.82818
336,33.713276,-112.149966
337,33.622195,-112.049771
338,33.484504,-112.089718
339,33.2587,-111.784712
340,33.49497,-112.224073
341,33.484083,-111.960613
342,33.303921,-112.214763
343,33.460311,-111.877122
344,33.439103,-111.756953
345,33.56951,-112.039235
346,33.581056,-112.007145
347,33.227182,-111.743546
348,33.424768,-111.987405
349,33.575516,-112.007441
350,33.501882,-111.953003
351,33.713894,-111.886462
352,33.595216,-112.23587
353,33.297761,-111.807334
354,33.242341,-112.038697
355,33.585452,-112.256591
356,33.215907,-111.82829
357,33.551465,-112.07383
358,33.764138,-112.23978
359,33.545285,-111.919733
360,33.432902,-111.771921
361,33.585973,-111.767348
362,33.474952,-111.725402
363,33.52737,-111.779377
364,33.764879,-112.298715
365,33.431662,-112.071855
366,33.776714,-111.808874
367,33.74321,-112.080248
368,33.317475,-111.939071
369,33.241617,-111.93621
370,33.260467,-112.080985
371,33.210933,-111.757316
372,33.256666,-111.998063
373,33.609804,-112.021129
374,33.242713,-111.701492
375,33.391385,-112.0039
376,33.706925,-112.192961
377,33.213963,-111.992158
378,33.688681,-111.81159
379,33.369113,-111.833884
380,33.270899,-111.826851
381,33.618042,-111.875186
382,33.577366,-112.147469
383,33.726483,-111.78275
384,33.641043,-111.763934
385,33.682089,-112.183508
386,33.369221,-112.221727
387,33.306464,-111.714637
388,33.650369,-111.779006
389,33.684101,-111.764058
390,33.794303,-111.768174
391,33.447571,-111.974988
392,33.423211,-111.912159
393,33.665848,-111.972782
394,33.404482,-112.269276
395,33.758454,-111.852698
396,33.715048,-111.996801
397,33.457396,-111.911375
398,33.650523,-111.998416
399,33.652726,-112.004913
400,33.261874,-112.196927
401,33.741532,-112.132772
402,33.503151,-112.204688
403,33.695874,-112.1826
404,33.39203,-111.716214
405,33.737314,-112.208132
406,33.433521,-112.138438
407,33.206503,-111.945646
408,33.743229,-111.933893
409,33.254772,-112.207616
410,33.391588,-111.82377
411,33.770037,-111.828878
412,33.770364,-112.157609
413,33.544063,-112.1268
414,33.579102,-111.737207
415,33.469067,-111.804597
416,33.375926,-111.881322
417,33.397199,-112.25066
418,33.603511,-112.049042
419,33.651425,-111.964419
420,33.674947,-112.187553
